,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Tweets,Length,ID,Date,Likes,Retweets,Sentiment,Feature Words (Porter),Feature Words (Lancaster),Words
156,156,156,156,156,156,156,156,"RT @Jim_Jordan: .@AdamSchiff:

-Meets with Glenn Simpson, who hired Nellie Ohr and Chris Steele and paid for the Dossier
-Doesn’t disclose…",139,1094346133965545472,2019-02-09 21:23:44,0,32542,,"['rt', 'at_us', 'glenn', 'simpson', 'hire', 'nelli', 'ohr', 'chri', 'steel', 'paid', 'dossier']","['rt', 'at_user', 'glen', 'simpson', 'hir', 'nel', 'ohr', 'chris', 'steel', 'paid', 'dossy']","RT AT_USER .AT_USER

-Meets with Glenn Simpson, who hired Nellie Ohr and Chris Steele and paid for the Dossier
-Doesn’t disclose…"
157,157,157,157,157,157,157,157,"RT @seanhannity: Adam Schiff, Glenn Simpson and their Forrest Gump-like encounter in Aspen https://t.co/j2lqrxflGH",114,1094249047907581952,2019-02-09 14:57:57,0,11908,,"['rt', 'at_us', 'adam', 'schiff', 'glenn', 'simpson', 'forrest', 'encount', 'aspen', 'link']","['rt', 'at_user', 'adam', 'schiff', 'glen', 'simpson', 'forrest', 'encount', 'asp', 'link']","RT AT_USER Adam Schiff, Glenn Simpson and their Forrest Gump-like encounter in Aspen LINK"
158,158,158,158,158,158,158,158,RT @seanhannity: https://t.co/rhKgdlJt8X,40,1094248839198969857,2019-02-09 14:57:08,0,8747,,"['rt', 'at_us', 'link']","['rt', 'at_user', 'link']",RT AT_USER LINK
159,159,159,159,159,159,159,159,"RT @seanhannity: TRUMP: “Not only did Senator Burr’s Committee find No Collusion by the Trump Campaign and Russia, it’s important because t…",140,1094247546829058048,2019-02-09 14:51:59,0,14774,,"['rt', 'at_us', 'trump', 'not', 'senat', 'burr', 'committe', 'find', 'no', 'collus', 'trump', 'campaign', 'russia', 'import']","['rt', 'at_user', 'trump', 'not', 'sen', 'bur', 'commit', 'find', 'no', 'collud', 'trump', 'campaign', 'russ', 'import']","RT AT_USER TRUMP: “Not only did Senator Burr’s Committee find No Collusion by the Trump Campaign and Russia, it’s important because t…"
160,160,160,160,160,160,160,160,We have a great economy DESPITE the Obama Administration and all of its job killing Regulations and Roadblocks. If… https://t.co/2rueUOdvof,139,1094243546834657281,2019-02-09 14:36:06,113764,26806,,"['we', 'great', 'economi', 'despit', 'obama', 'administr', 'job', 'kill', 'regul', 'roadblock', 'link']","['we', 'gre', 'econom', 'despit', 'obam', 'admin', 'job', 'kil', 'reg', 'roadblock', 'link']",We have a great economy DESPITE the Obama Administration and all of its job killing Regulations and Roadblocks. If… LINK
161,161,161,161,161,161,161,161,The Democrats in Congress yesterday were vicious and totally showed their cards for everyone to see. When the Repub… https://t.co/jji6able2y,140,1094242164857556992,2019-02-09 14:30:36,101855,24404,,"['the', 'democrat', 'congress', 'yesterday', 'viciou', 'total', 'show', 'card', 'everyon', 'see', 'when', 'link']","['the', 'democr', 'congress', 'yesterday', 'vicy', 'tot', 'show', 'card', 'everyon', 'see', 'when', 'link']",The Democrats in Congress yesterday were vicious and totally showed their cards for everyone to see. When the Repub… LINK
162,162,162,162,162,162,162,162,It was great meeting some of our outstanding young military personnel who were wounded in both Syria and Afghanista… https://t.co/0uAFzCLkTF,140,1094233554886840321,2019-02-09 13:56:24,137041,24814,,"['it', 'great', 'meet', 'outstand', 'young', 'militari', 'personnel', 'wound', 'syria', 'link']","['it', 'gre', 'meet', 'outstand', 'young', 'milit', 'personnel', 'wound', 'syr', 'link']",It was great meeting some of our outstanding young military personnel who were wounded in both Syria and Afghanista… LINK
163,163,163,163,163,163,163,163,"North Korea, under the leadership of Kim Jong Un, will become a great Economic Powerhouse. He may surprise some but… https://t.co/XQ9HfkSc3M",140,1094035813820784640,2019-02-09 00:50:38,143010,30694,,"['north', 'korea', 'leadership', 'kim', 'jong', 'un', 'becom', 'great', 'econom', 'powerhous', 'he', 'may', 'surpris', 'link']","['nor', 'kore', 'lead', 'kim', 'jong', 'un', 'becom', 'gre', 'econom', 'powerh', 'he', 'may', 'surpr', 'link']","North Korea, under the leadership of Kim Jong Un, will become a great Economic Powerhouse. He may surprise some but… LINK"
164,164,164,164,164,164,164,164,My representatives have just left North Korea after a very productive meeting and an agreed upon time and date for… https://t.co/gWYYV5misV,139,1094031561861881856,2019-02-09 00:33:45,116626,25236,,"['my', 'repres', 'left', 'north', 'korea', 'product', 'meet', 'agre', 'upon', 'time', 'date', 'link']","['my', 'repres', 'left', 'nor', 'kore', 'produc', 'meet', 'agree', 'upon', 'tim', 'dat', 'link']",My representatives have just left North Korea after a very productive meeting and an agreed upon time and date for… LINK
165,165,165,165,165,165,165,165,"I was a big fan of Frank Robinson, both as a great player and man. He was the first African American manager in bas… https://t.co/Nhe4v705Gr",140,1093966532558929922,2019-02-08 20:15:20,116464,18165,,"['i', 'big', 'fan', 'frank', 'robinson', 'great', 'player', 'man', 'he', 'first', 'african', 'american', 'manag', 'link']","['i', 'big', 'fan', 'frank', 'robinson', 'gre', 'play', 'man', 'he', 'first', 'afr', 'am', 'man', 'link']","I was a big fan of Frank Robinson, both as a great player and man. He was the first African American manager in bas… LINK"
166,166,166,166,166,166,166,166,Deepest sympathies to Congresswoman Debbie Dingell and the entire family of John Dingell. Longest serving Congressm… https://t.co/wbvzKXJCR7,140,1093965968253087744,2019-02-08 20:13:06,66864,10777,,"['deepest', 'sympathi', 'congresswoman', 'debbi', 'dingel', 'entir', 'famili', 'john', 'dingel', 'longest', 'serv', 'link']","['deepest', 'sympathy', 'congresswom', 'debby', 'dingel', 'entir', 'famy', 'john', 'dingel', 'longest', 'serv', 'link']",Deepest sympathies to Congresswoman Debbie Dingell and the entire family of John Dingell. Longest serving Congressm… LINK
167,167,167,167,167,167,167,167,"Working hard, thank you! https://t.co/tnuHnw8kll",48,1093965250142056448,2019-02-08 20:10:15,136162,28714,,"['work', 'hard', 'thank', 'link']","['work', 'hard', 'thank', 'link']","Working hard, thank you! LINK"
168,168,168,168,168,168,168,168,"...It is all a GIANT AND ILLEGAL HOAX, developed long before the election itself, but used as an excuse by the Demo… https://t.co/unCVqZ2Bnp",140,1093871865246961666,2019-02-08 13:59:10,138582,29541,,"['it', 'giant', 'and', 'illeg', 'hoax', 'develop', 'long', 'elect', 'use', 'excus', 'link']","['it', 'giant', 'and', 'illeg', 'hoax', 'develop', 'long', 'elect', 'us', 'excus', 'link']","...It is all a GIANT AND ILLEGAL HOAX, developed long before the election itself, but used as an excuse by the Demo… LINK"
169,169,169,169,169,169,169,169,The mainstream media has refused to cover the fact that the head of the VERY important Senate Intelligence Committe… https://t.co/5kJEIsX5Dt,140,1093869087908941827,2019-02-08 13:48:08,103926,27391,,"['the', 'mainstream', 'media', 'refus', 'cover', 'fact', 'head', 'veri', 'import', 'senat', 'intellig', 'link']","['the', 'mainstream', 'med', 'refus', 'cov', 'fact', 'head', 'very', 'import', 'sen', 'intellig', 'link']",The mainstream media has refused to cover the fact that the head of the VERY important Senate Intelligence Committe… LINK
170,170,170,170,170,170,170,170,"Now we find out that Adam Schiff was spending time together in Aspen with Glenn Simpson of GPS Fusion, who wrote th… https://t.co/OzFzkeVTC3",140,1093867361713704960,2019-02-08 13:41:16,94399,30384,,"['now', 'find', 'adam', 'schiff', 'spend', 'time', 'togeth', 'aspen', 'glenn', 'simpson', 'gp', 'fusion', 'wrote', 'link']","['now', 'find', 'adam', 'schiff', 'spend', 'tim', 'togeth', 'asp', 'glen', 'simpson', 'gps', 'fus', 'wrot', 'link']","Now we find out that Adam Schiff was spending time together in Aspen with Glenn Simpson of GPS Fusion, who wrote th… LINK"
171,171,171,171,171,171,171,171,"Not only did Senator Burr’s Committee find No Collusion by the Trump Campaign and Russia, it’s important because th… https://t.co/wIZACy18z3",140,1093847784573280256,2019-02-08 12:23:29,87855,22553,,"['not', 'senat', 'burr', 'committe', 'find', 'no', 'collus', 'trump', 'campaign', 'russia', 'import', 'link']","['not', 'sen', 'bur', 'commit', 'find', 'no', 'collud', 'trump', 'campaign', 'russ', 'import', 'link']","Not only did Senator Burr’s Committee find No Collusion by the Trump Campaign and Russia, it’s important because th… LINK"
172,172,172,172,172,172,172,172,"Highly respected Senator Richard Burr, Chairman of Senate Intelligence, said today that, after an almost two year i… https://t.co/JXnRAMYuuE",140,1093692376093216769,2019-02-08 02:05:56,154143,35055,,"['highli', 'respect', 'senat', 'richard', 'burr', 'chairman', 'senat', 'intellig', 'said', 'today', 'almost', 'two', 'year', 'link']","['high', 'respect', 'sen', 'richard', 'bur', 'chairm', 'sen', 'intellig', 'said', 'today', 'almost', 'two', 'year', 'link']","Highly respected Senator Richard Burr, Chairman of Senate Intelligence, said today that, after an almost two year i… LINK"
173,173,173,173,173,173,173,173,So nice how well my State of the Union speech was received. Thank you to all!,77,1093661397769248769,2019-02-08 00:02:51,207890,29539,,"['so', 'nice', 'well', 'state', 'union', 'speech', 'receiv', 'thank']","['so', 'nic', 'wel', 'stat', 'un', 'speech', 'receiv', 'thank']",So nice how well my State of the Union speech was received. Thank you to all!
174,174,174,174,174,174,174,174,"Each year, America pauses to remember its fallen astronaut heroes and the great accomplishments for which they stri… https://t.co/O6Rec61dhB",140,1093661112724262912,2019-02-08 00:01:43,73060,14378,,"['each', 'year', 'america', 'paus', 'rememb', 'fallen', 'astronaut', 'hero', 'great', 'accomplish', 'link']","['each', 'year', 'americ', 'paus', 'rememb', 'fal', 'astronaut', 'hero', 'gre', 'accompl', 'link']","Each year, America pauses to remember its fallen astronaut heroes and the great accomplishments for which they stri… LINK"
